Name,Rating,Number of Reviews,Latitude,Longitude,Category,Sub-Category
Mamta enterprises,N/A,N/A,30.679491,76.765428,Shop,Convenience Store
Common Service Center (CSC),4.6,(18),30.687064,76.764481,Shop,Convenience Store
GoMechanic - Car Mechanic Chandigarh,3.7,(38),30.687016,76.758758,Shop,Convenience Store
Sagar Sanitary & Hardware Store.,4.6,(23),30.686107,76.739084,Shop,Hardware Store
Babbar Enterprises,4.3,(33),30.694544,76.732722,Shop,Hardware Store
Laxmi Hardware & Sanitary Mohit,4.2,(5),30.694564,76.732706,Shop,Hardware Store
Jain Paint & Hardware Store,4.8,(12),30.683814,76.760742,Shop,Hardware Store
Garg Enterprises,4.6,(29),30.686783,76.738647,Shop,Hardware Store
Relaxo Footwear,4.7,(17),30.68153,76.744277,Shop,Shoe Store
Punjab Shoes,4.0,(11),30.686697,76.738596,Shop,Shoe Store
Fancy Shoe Palace,5.0,(1),30.683139,76.742842,Shop,Shoe Store
New Classic Foot Wear,3.5,(4),30.686701,76.738864,Shop,Shoe Store
Bata Shoe Store,3.5,(26),N/A,N/A,Shop,Shoe Store
Life Line - Chemists and Druggists,N/A,N/A,30.697894,76.762628,Shop,Pharmacy
VIVA - Your Family Chemist,N/A,N/A,30.691936,76.760187,Shop,Pharmacy
Mehak Medicos,5.0,(1),30.692109,76.760114,Shop,Pharmacy
Swaran Medical Store,4.5,(2),30.693998,76.756603,Shop,Pharmacy
NOOR CHEMIST AND DRUGGIST,3.9,(41),30.691996,76.760188,Shop,Pharmacy
Bhagwati sales (Hardware &Sanitary),5.0,(97),30.696172,76.764492,Shop,Hardware Store
Babbar Enterprises,4.3,(33),30.694544,76.732722,Shop,Hardware Store
Laxmi Hardware & Sanitary Mohit,4.2,(5),30.694564,76.732706,Shop,Hardware Store
Malhotra Building Store,3.8,(5),30.69403,76.732678,Shop,Hardware Store
Shree Ram Sanitary Store,5.0,"(1,229)",30.694759,76.732718,Shop,Hardware Store
Bata Shoe Store,3.4,(37),N/A,N/A,Shop,Shoe Store
Bombay Footwear,N/A,N/A,30.693159,76.755251,Shop,Shoe Store
Apollo Pharmacy Mohali Phase 5,3.5,(58),30.714444,76.71492,Shop,Pharmacy
Indus Pharmacy,3.9,(44),30.708909,76.722489,Shop,Pharmacy
Apollo Pharmacy Mohali 7 Phase,3.7,(17),N/A,N/A,Shop,Pharmacy
Noble Pharmacy,4.1,(26),30.709179,76.774319,Shop,Pharmacy
Fortis Pharmacy,3.0,(25),30.695127,76.731696,Shop,Pharmacy
24SEVEN,2.9,(15),30.716274,76.773186,Shop,Convenience Store
Singla Store,4.2,"(1,118)",30.695747,76.768529,Shop,Convenience Store
Chirag Departmental Store,3.4,(32),30.713826,76.768798,Shop,Convenience Store
Bansal Namkeen & sweets,4.0,(30),30.709526,76.773899,Shop,Convenience Store
Singla Store Best Pharmacy/medical/chemists store in chandigarh sector 45,4.8,(4),30.704855,76.759784,Shop,Convenience Store
K.D HARDWARE STORE,4.8,(117),30.709681,76.762058,Shop,Hardware Store
Mohinder Ki Dukaan | Hardware - Sanutary - Paints |,4.1,(175),30.711389,76.752867,Shop,Hardware Store
Singh Hardware Sanitary & Electrical Store,4.1,(13),30.706505,76.757598,Shop,Hardware Store
Krishna Hardware,4.4,(54),30.705535,76.763212,Shop,Hardware Store
Maharaja Hardware Store,4.3,(23),30.711983,76.73196,Shop,Hardware Store
Bata Shoe Store,3.4,(37),N/A,N/A,Shop,Shoe Store
Relaxo Footwear,3.4,(10),30.700387,76.765081,Shop,Shoe Store
Singla shoes sector 45,4.3,(15),30.705652,76.758915,Shop,Shoe Store
Shri Ram Footwear-Whole sell Shoe Shop,5.0,(8),30.70388,76.75764,Shop,Shoe Store
Kewal Footwear,N/A,N/A,30.709385,76.760755,Shop,Shoe Store
Dayal Pharmacy,5.0,(40),30.710862,76.753501,Shop,Pharmacy
Healthmart pharmacy,5.0,(1),30.714896,76.751661,Shop,Pharmacy
Arogya Medicos,4.5,(6),30.719221,76.75379,Shop,Pharmacy
Paras Medical Store,4.9,(39),30.714281,76.751727,Shop,Pharmacy
VIVA - Your Family Chemist,5.0,(1),30.707454,76.759331,Shop,Pharmacy
K.D HARDWARE STORE,4.8,(117),30.709681,76.762058,Shop,Hardware Store
Maharaja Hardware Store,4.3,(23),30.711983,76.73196,Shop,Hardware Store
Mohinder Ki Dukaan | Hardware - Sanutary - Paints |,4.1,(175),30.711389,76.752867,Shop,Hardware Store
Ram Hardware Store,4.0,(2),30.716608,76.735454,Shop,Hardware Store
Shri Maa Mansa Traders | Ozone Dealer,4.4,(9),30.706829,76.764037,Shop,Hardware Store
Kewal Footwear,N/A,N/A,30.709385,76.760755,Shop,Shoe Store
Mohan Shoes,N/A,N/A,30.714534,76.739529,Shop,Shoe Store
Shoes Fashion lover,N/A,N/A,30.708922,76.761257,Shop,Shoe Store
Hi - Class Footwears,N/A,N/A,30.709416,76.76133,Shop,Shoe Store
Sukhjeet Boot House,5.0,(1),30.715243,76.737993,Shop,Shoe Store
Apollo Pharmacy Chandigarh Sec 34,3.9,(38),30.724412,76.76886,Shop,Pharmacy
Apollo Pharmacy Mohali Phase 5,3.5,(58),30.714444,76.71492,Shop,Pharmacy
Indus Pharmacy,3.9,(44),30.708909,76.722489,Shop,Pharmacy
Noble Pharmacy,4.1,(26),30.709179,76.774319,Shop,Pharmacy
Dayal Pharmacy,5.0,(40),30.710862,76.753501,Shop,Pharmacy
24SEVEN,3.6,(87),30.720602,76.758512,Shop,Convenience Store
Clock Owl,5.0,(10),30.734566,76.752291,Shop,Convenience Store
Madan General Store,3.8,(4),N/A,N/A,Shop,Convenience Store
Clock Owl,4.0,(1),30.734591,76.752298,Shop,Convenience Store
24SEVEN,2.9,(15),30.716274,76.773186,Shop,Convenience Store
Neelam Hardware Store,4.6,(21),30.726005,76.758477,Shop,Hardware Store
Gupta Hardware store,4.0,(1),30.726812,76.750829,Shop,Hardware Store
sharma sanitary & hardware store,4.9,(8),30.72798,76.749338,Shop,Hardware Store
Ram Hardware Store,4.0,(2),30.716608,76.735454,Shop,Hardware Store
A. K. Trading Company,4.3,(35),30.727835,76.750025,Shop,Hardware Store
Bata shoe store,4.0,(123),30.726162,76.758007,Shop,Shoe Store
Royal Footwear,4.5,(8),30.732287,76.770497,Shop,Shoe Store
Shoe Mania,3.1,(7),30.718143,76.766522,Shop,Shoe Store
STAR SHOES,4.1,(9),30.731884,76.770315,Shop,Shoe Store
Shoe bespoke,4.0,(26),30.733876,76.753437,Shop,Shoe Store
Noble phramacy,3.4,(5),30.724584,76.760154,Shop,Pharmacy
Anand Chemists,5.0,(3),30.736871,76.750272,Shop,Pharmacy
CHOTTA DOCTOR PHARMACY,5.0,(2),30.724553,76.760207,Shop,Pharmacy
PRATAP BROTHERS CHEMIST,4.6,(5),30.726861,76.758084,Shop,Pharmacy
VIVA - Your Family Chemist,N/A,N/A,30.726232,76.757011,Shop,Pharmacy
New Shop,5.0,(1),30.737165,76.755486,Shop,Convenience Store
Clock Owl,5.0,(10),30.734566,76.752291,Shop,Convenience Store
24SEVEN,3.9,(69),30.746482,76.742949,Shop,Convenience Store
Madan General Store,3.8,(4),N/A,N/A,Shop,Convenience Store
Clock Owl,4.0,(1),30.734591,76.752298,Shop,Convenience Store
Luxmi Paints & Hardware Store (BUNTY HARDWARE),4.3,(256),30.733462,76.73714,Shop,Hardware Store
Neelam Hardware Store,4.6,(21),30.726005,76.758477,Shop,Hardware Store
Gupta Hardware store,4.0,(1),30.726812,76.750829,Shop,Hardware Store
sharma sanitary & hardware store,4.9,(8),30.72798,76.749338,Shop,Hardware Store
Mahabir Hardware store,N/A,N/A,30.733922,76.752745,Shop,Hardware Store
Bata shoe store,4.0,(123),30.726162,76.758007,Shop,Shoe Store
Sanjeev Footwears - Best Shoes Store In Chandigarh,3.8,(524),30.736873,76.749384,Shop,Shoe Store
Shoe bespoke,4.0,(26),30.733876,76.753437,Shop,Shoe Store
URBANTOES,4.7,(85),30.736013,76.735467,Shop,Shoe Store
Fine shoes,5.0,(3),30.733501,76.737141,Shop,Shoe Store
Apollo Pharmacy Chandigarh Sector 38C,5.0,(5),30.740821,76.744473,Shop,Pharmacy
Thanks Pharmacy,3.9,(22),30.74584,76.743546,Shop,Pharmacy
Apollo Pharmacy Chandigarh Sector 40C,5.0,(7),30.735426,76.735569,Shop,Pharmacy
BHARAT MEDICAL STORES,3.7,(61),30.747856,76.775001,Shop,Pharmacy
CHEMIST A S Enterprises,4.9,(13),30.731439,76.764817,Shop,Pharmacy
24SEVEN,3.9,(69),30.746482,76.742949,Shop,Convenience Store
New Shop,5.0,(1),30.737165,76.755486,Shop,Convenience Store
Clock Owl,5.0,(10),30.734566,76.752291,Shop,Convenience Store
Madan General Store,3.8,(4),N/A,N/A,Shop,Convenience Store
Clock Owl,4.0,(1),30.734591,76.752298,Shop,Convenience Store
Mahabir Hardware store,N/A,N/A,30.733922,76.752745,Shop,Hardware Store
M/S Garg Brothers Agency,4.2,(5),30.738071,76.748879,Shop,Hardware Store
Vapore Bath - Steam Generator | Jacuzzi Bath Tub | Toughened Glass,4.8,(71),30.744856,76.744569,Shop,Hardware Store
TechGen Computers - Sale | Purchase | Repairing,4.3,(12),30.744554,76.744235,Shop,Hardware Store
